shot,match,tournament,round,date,attacker_team,gk_team,attacker,goalkeeper,goal,missed,saved,shot_order,take_first,FT_goals,neutral_stadium,attacker_home,game_data,additional
92,10,WC,quarter,10-Jul-1994,Romania,Sweden,Florin Raducioiu,Thomas Ravelli,1,0,0,1,0,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936190,
93,10,WC,quarter,10-Jul-1994,Romania,Sweden,Gheorghe Hagi,Thomas Ravelli,1,0,0,2,0,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936190,
94,10,WC,quarter,10-Jul-1994,Romania,Sweden,Ioan Lupescu,Thomas Ravelli,1,0,0,3,0,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936190,
95,10,WC,quarter,10-Jul-1994,Romania,Sweden,Dan Petrescu,Thomas Ravelli,0,0,1,4,0,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936190,
96,10,WC,quarter,10-Jul-1994,Romania,Sweden,Ilie Dumitrescu,Thomas Ravelli,1,0,0,5,0,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936190,
97,10,WC,quarter,10-Jul-1994,Romania,Sweden,Miodrag Belodedici,Thomas Ravelli,0,0,1,6,0,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936190,
98,11,WC,final,17-Jul-1994,Italy,Brazil,Franco Baresi,Claudio Taffarel,0,1,0,1,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936193,
99,11,WC,final,17-Jul-1994,Italy,Brazil,Demetrio Albertini,Claudio Taffarel,1,0,0,2,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936193,
100,11,WC,final,17-Jul-1994,Italy,Brazil,Alberico Evani,Claudio Taffarel,1,0,0,3,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936193,
101,11,WC,final,17-Jul-1994,Italy,Brazil,Daniele Massaro,Claudio Taffarel,0,0,1,4,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936193,
102,11,WC,final,17-Jul-1994,Italy,Brazil,Roberto Baggio,Claudio Taffarel,0,1,0,5,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936193,
103,11,WC,final,17-Jul-1994,Brazil,Italy,Marcio Santos,Gianluca Pagliuca,0,0,1,1,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936193,
104,11,WC,final,17-Jul-1994,Brazil,Italy,Romario,Gianluca Pagliuca,1,0,0,2,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936193,
105,11,WC,final,17-Jul-1994,Brazil,Italy,Branco,Gianluca Pagliuca,1,0,0,3,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936193,
106,11,WC,final,17-Jul-1994,Brazil,Italy,Dunga,Gianluca Pagliuca,1,0,0,4,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936193,
107,12,WC,last16,30-Jun-1998,Argentina,England,Sergio Berti,David Seaman,1,0,0,1,1,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936712,
108,12,WC,last16,30-Jun-1998,Argentina,England,Hernan Crespo,David Seaman,0,0,1,2,1,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936712,
109,12,WC,last16,30-Jun-1998,Argentina,England,Juan Sebastian Veron,David Seaman,1,0,0,3,1,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936712,
110,12,WC,last16,30-Jun-1998,Argentina,England,Marcelo Gallardo,David Seaman,1,0,0,4,1,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936712,
111,12,WC,last16,30-Jun-1998,Argentina,England,Roberto Ayala,David Seaman,1,0,0,5,1,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936712,
112,12,WC,last16,30-Jun-1998,England,Argentina,Alan Shearer,Carlos Roa,1,0,0,1,0,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936712,
113,12,WC,last16,30-Jun-1998,England,Argentina,Paul Ince,Carlos Roa,0,0,1,2,0,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936712,
114,12,WC,last16,30-Jun-1998,England,Argentina,Paul Merson,Carlos Roa,1,0,0,3,0,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936712,
115,12,WC,last16,30-Jun-1998,England,Argentina,Michael Owen,Carlos Roa,1,0,0,4,0,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936712,
116,12,WC,last16,30-Jun-1998,England,Argentina,David Batty,Carlos Roa,0,0,1,5,0,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936712,
117,13,WC,quarter,3-Jul-1998,France,Italy,Zinedine Zidane,Gianluca Pagliuca,1,0,0,1,1,0,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/936714,
118,13,WC,quarter,3-Jul-1998,France,Italy,Bixente Lizarazu,Gianluca Pagliuca,0,0,1,2,1,0,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/936714,
119,13,WC,quarter,3-Jul-1998,France,Italy,David Trezeguet,Gianluca Pagliuca,1,0,0,3,1,0,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/936714,
120,13,WC,quarter,3-Jul-1998,France,Italy,Thierry Henry,Gianluca Pagliuca,1,0,0,4,1,0,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/936714,
121,13,WC,quarter,3-Jul-1998,France,Italy,Laurent Blanc,Gianluca Pagliuca,1,0,0,5,1,0,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/936714,
122,13,WC,quarter,3-Jul-1998,Italy,France,Roberto Baggio,Fabien Barthez,1,0,0,1,0,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936714,
123,13,WC,quarter,3-Jul-1998,Italy,France,Demetrio Albertini,Fabien Barthez,0,0,1,2,0,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936714,
124,13,WC,quarter,3-Jul-1998,Italy,France,Alessandro Costacurta,Fabien Barthez,1,0,0,3,0,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936714,
125,13,WC,quarter,3-Jul-1998,Italy,France,Christian Vieri,Fabien Barthez,1,0,0,4,0,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936714,
126,13,WC,quarter,3-Jul-1998,Italy,France,Luigi Di Biagio,Fabien Barthez,0,1,0,5,0,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936714,
127,14,WC,semi,7-Jul-1998,Brazil,Netherlands,Ronaldo,Edwin van der Sar,1,0,0,1,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936718,
128,14,WC,semi,7-Jul-1998,Brazil,Netherlands,Rivaldo,Edwin van der Sar,1,0,0,2,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936718,
129,14,WC,semi,7-Jul-1998,Brazil,Netherlands,Emerson,Edwin van der Sar,1,0,0,3,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936718,
130,14,WC,semi,7-Jul-1998,Brazil,Netherlands,Dunga,Edwin van der Sar,1,0,0,4,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936718,
131,14,WC,semi,7-Jul-1998,Netherlands,Brazil,Franciscus de Boer,Claudio Taffarel,1,0,0,1,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936718,
132,14,WC,semi,7-Jul-1998,Netherlands,Brazil,Dennis Bergkamp,Claudio Taffarel,1,0,0,2,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936718,
133,14,WC,semi,7-Jul-1998,Netherlands,Brazil,Phillip Cocu,Claudio Taffarel,0,0,1,3,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936718,
134,14,WC,semi,7-Jul-1998,Netherlands,Brazil,Ronaldus de Boer,Claudio Taffarel,0,0,1,4,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936718,
135,15,WC,last16,16-Jun-2002,Ireland,Spain,Robbie Keane,Iker Casillas,1,0,0,1,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/987566,
136,15,WC,last16,16-Jun-2002,Ireland,Spain,Matt Holland,Iker Casillas,0,1,0,2,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/987566,
137,15,WC,last16,16-Jun-2002,Ireland,Spain,David Connolly,Iker Casillas,0,1,0,3,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/987566,
138,15,WC,last16,16-Jun-2002,Ireland,Spain,Kevin Kilbane,Iker Casillas,0,1,0,4,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/987566,
139,15,WC,last16,16-Jun-2002,Ireland,Spain,Steve Finnan,Iker Casillas,1,0,0,5,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/987566,
140,15,WC,last16,16-Jun-2002,Spain,Ireland,Fernando Hierro,Shay Given,1,0,0,1,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/987566,
141,15,WC,last16,16-Jun-2002,Spain,Ireland,Ruben Baraja,Shay Given,1,0,0,2,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/987566,
142,15,WC,last16,16-Jun-2002,Spain,Ireland,Juanfran,Shay Given,0,1,0,3,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/987566,
143,15,WC,last16,16-Jun-2002,Spain,Ireland,Juan Carlos Valeron,Shay Given,0,1,0,4,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/987566,
144,15,WC,last16,16-Jun-2002,Spain,Ireland,Gaizka Mendieta,Shay Given,1,0,0,5,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/987566,
145,16,WC,quarter,22-Jun-2002,South Korea,Spain,Hwang Sun-Hong,Iker Casillas,1,0,0,1,1,0,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/987573,
146,16,WC,quarter,22-Jun-2002,South Korea,Spain,Park Ji-Sung,Iker Casillas,1,0,0,2,1,0,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/987573,
